Район,Подразделение,Кому подчиняется,ID,Адрес,Тлф1,Тлф2,Тлф3,"Должность, звание",ФИО,Тел. начальника,График приема,Дата последней инспекции,Подать заявление через электронную приёмную,Горячая линия МВД по СПб И ЛО,Новости,Фото здания,Отчёты о работе руководителя подразделения,Комментарий,Скрытые комментарии,Цифра,Иконка
Адмиралтейский,1 отдел полиции,УМВД России по Адмиралтейскому району СПб,1,"190000, Санкт-Петербург, ул. Якубовича, 16",(812) 573-02-10,-,-,подполковник полиции,Березин Юрий Витальевич,(812) 573-02-05,Пн. 18.00-20.00,21.07.16,https://78.мвд.рф/request_main,(812) 573-21-81,"1) Прекращено дело о смерти таджикского мальчика Умарали Назарова (изначально супругов с ребенком доставили в 1 оп) - ноябрь 2016: http://www.spbdnevnik.ru/news/2016-10-20/prekrashcheno-delo-o-smerti-umarali-nazarova-v-peterburge/ ;
2) Активистку из 1 оп насильно увезли в психбольницу - сентябрь 2016: https://ovdinfo.org/express-news/2016/09/15/v-sankt-peterburge-aktivistku-iz-policii-nasilno-uvezli-v-psihbolnicu ;
3) В целях патриотического воспитания дети посетили 1 и 2 оп - сентябрь 2016: https://78.мвд.рф/news/item/8471165/ ;
4) В Музей Новороссии пришли оперативники 1 оп - сентябрь 2016: http://www.rosbalt.ru/piter/2016/09/15/1550461.html ;
5) Мать погибшего в Петербурге таджикского мальчика вылетела в Душанбе (изначально супругов с ребенком доставили в 1оп) - ноябрь 2015: http://www.spbdnevnik.ru/news/2015-11-16/mat-pogibshego-v-peterburge-tadzhikskogo-malchika-vyletela-v-dushanbe/ ;
6) Активисты «Молодой Гвардии Единой России»в рамках федерального проекта «Агенты» совместно с 1 оп провели антиалкогольный рейд в Адмиралтейском районе с целью выявления незаконных продаж алкогольной продукции несовершеннолетним. - апрель 2015: http://mger2020.ru/nextday/2015/04/03/80374 ;
",OP_01_ph1_gsw.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Адмиралтейский,2 отдел полиции,УМВД России по Адмиралтейскому району СПб,2,"190068, Санкт-Петербург, ул. Садовая, 58",(812) 573-02-24,-,-,подполковник полиции,Конюхов Феликс Николаевич,(812) 573-02-19,"Пн. 17.00-19.00, чт. 11.00-13.00",25.07.16,https://78.мвд.рф/request_main,(812) 573-21-81,"1) В целях патриотического воспитания дети посетили 1 и 2 оп - сентябрь 2016: https://78.мвд.рф/news/item/8471165/ ;
2) Задержали белорусскую мошенницу, ее доставили во 2 оп - май 2016: http://www.fontanka.ru/2016/05/13/014/ ;
3) Арестован гражданин, задержанный за кражи из припаркованных автомобилей
4) Возбуждены уголовные дела в отношении мужчины, в ночь на вторник задержанного сотрудниками полиции за кражи из иномарок, в которые он проникал, разбивая стекла выстрелами из пневматическеого пистолета - декабрь 2015: https://78.мвд.рф/news/item/6900363/ ;
5) Банду клофелинщиц покрывали полицейские и пристав, к делу о клофелинщицах причастны оперативник угрозыска 2 оп - сентябрь 2015: http://nation-news.ru/155893-v-peterburge-bandu-klofelinshhits-pokryivali-politseyskie-i-pristav ; 
6) В СПб закрыли бордель, сотрудниками 2 оп была проведена проверка информации, которая поступила от местных жителей одного из районов  города - октябрь 2015: http://pravdevglaza.ru/news_in_russia/7170-v-sankt-peterburge-zakryli-bordel.html ;
",OP_02_ph1_gsw.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Адмиралтейский,38 отдел полиции,УМВД России по Адмиралтейскому району СПб,38,"190013, Санкт-Петербург, наб. Обводного канала, 117",(812) 573-02-83,-,-,"ВРИО, подполковник полиции",Григорьев Александр Анатольевич     ,(812) 573-02-87,Пн. 17.00-19.00 последний чт. месяца 11.00-13.00 ,25.07.16,https://78.мвд.рф/request_main,(812) 573-21-81,"1) Неизвестные избили группу Африканцев, один из очевидцев произошедшего обратился в 38-й оп - сентябрь 2015: http://spb.mk.ru/articles/2015/09/28/gruppu-afrikancev-izbili-v-centre-peterburga.html ;
2) Активистка «Солидарности»  была доставлена в 38-е оп для объяснения по содержанию распространяемых листовок - сентябрь 2014: http://www.baltinfo.ru/2014/09/20/Aktivistku-peterburgskoi-Solidarnosti-zabirali-v-politciyu-za-razdachu-listovok-u-metro-450855 ;
3) Задержали двух мигрантов с пистолетом и ножом, досмотр происходил в 38 оп - сентябрь 2014: http://konkretno.ru/2014/09/23/na-fontanke-zaderzhali-dvux-migrantov-s-pistoletom-i-nozhom.html ;
4) Мужчина сбил полицейского, которые пытался проверить у него документы, скрылся с места событий, его объявили в розыск. Позднее его автомобиль был обнаружен, сам водитель отправился в 38 оп - июль 2014: http://ura.ru/news/1052185731 ;
5) Полицейские 38 оп задержали 39-летнего неработающего, у которого был изъят амфетамин - май 2014: https://78.мвд.рф/news/item/2218692/ ;",OP_38_ph1_gsw.jpg,отчёт о работе за 2016 год не опубликован,-,,,"police_station.png
"
Адмиралтейский,77 отдел полиции,УМВД России по Адмиралтейскому району СПб,77,"190020, Санкт-Петербург, наб. Обводного канала, 205",(812) 573-03-04,-,-,подполковник полиции,Даминов Ильгиз Хасанзанович,(812) 573-02-99,Ср. 17.00-19.00,23.06.16,https://78.мвд.рф/request_main,(812) 573-21-81,"1) Узбека хотят депортировать из страны за то, что он потребовал от полицейского вернуть его паспорт, сам Джасур утверждает, что полицейский потребовал от него взятку, обещая взамен вернуть паспорт - сентябрь 2016: http://rus.ozodlik.org/a/27998622.html ;
2) Молодая Гвардии ЕР и 77-ое оппроводили совместное мепроприятие с целью борьбы с продажей слабоалкогольных энергетиков -  май 2014: http://mger2020.ru/content/2014/05/19/69273 ;
3) Задержали молодого человека, который попытался сбежать, не заплатив за товар - август 2012: http://www.kp.ru/online/news/1222127/ ;
4) Удальцова оставили в полиции до утра - июль 2012: http://www.ntv.ru/novosti/311178/ ;
",OP_77_ph1_gsw.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Василеостровский,16 отдел полиции,УМВД России по Василеостровскому району СПб,16,"199106, Санкт-Петербург, 19-я линия В.О., 10",(812) 573-04-87,(812) 305-02-16,-,"ВРИО, подполковник полиции",Данилов Сергей Евгеньевич,(812) 573-04-04,"Вт., чт. 18.00-20.00",07.09.16,https://78.мвд.рф/request_main,(812) 573-21-81,"1) Участников «Марша против ненависти» выпустили из 16 оп - октябрь 2016: https://ovdinfo.org/express-news/2016/10/29/uchastnikov-marsha-protiv-nenavisti-vypustili-iz-ovd ;
2) Житель города осужден за хищение имущества инвалида-колясочника, потерпевшие обращались с заявлением в 16 оп - январь 2016: http://procspb.ru/news/spb/13599-v-vasileostrovskom-rayone-zhitel-goroda-osuzhden-za-hishchenie-imushchestva-invalida-kolyasochnika ;
3) Полиция закрыла бордель, задержанных доставили в 16 оп - октябрь 2015: http://neva.today/news/118758/ ;
4) Полиция  задержала предполагаемого убийцу одессита, и доставила в 16 оп - октябрь 2015: http://odessa-life.od.ua ;
5) Консульство Латвии в Петербурге закидали яйцами, одного из нападавших доставили в 16 оп - июль 2015: http://www.telegraf.lv/news/konsulystvo-latvii-v-peterburge-zakidali-yaicami-video ; 
",OP_16_gsw.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Василеостровский,30 отдел полиции,УМВД России по Василеостровскому району СПб,30,"199004, Санкт-Петербург, 8-я линия В.О., 69",(812) 573-04-14,(812) 323-30-02,-,подполковник полиции,Соловьев Николай Николаевич,(812) 573-04-29,Пн. 16.00-19.00,07.09.16,https://78.мвд.рф/request_main,(812) 573-21-81,"1) Ограбили профессора журфака СПбГУ, чуть больше часа понадобилось полицейским, чтобы задержать преступников, сотрудники угрозыска 30 отдела полиции заметили троицу на набережной реки Смоленки - октябрь 2016: http://www.dglo.ru/news/2016-10-28/v-peterburge-derzko-ograbili-professora-zhurfaka-spbgu/ ;
2) Сотруднице 30 отделения полиции дали условно за превышение полномочий - март 2016: http://www.fontanka.ru/2016/03/18/081/ ;
3) Участкового судят за избиение лютеранского священника - май 2016: http://www.newsru.com/russia/25may2016/priest.html ;
4) После Дацика из борделя пропали 50 тысяч и iPhone. В 30-м отделе полиции у потерпевшей приняли устное заявление, на основании которого и было возбуждено дело - май 2016: http://www.fontanka.ru/2016/05/18/158/ ;
5) Подростка-путешественника из Мурманска поместили в приют, онпришел в 30 оп и попросил связаться с его матерью - февраль 2016: http://www.tv21.ru/news/2016/02/21/v-sankt-peterburge-podrostka-puteshestvennika-iz-murmanska-pomestili-v-priyut ;",OP_30_ph1_gsw.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Василеостровский,37 отдел полиции,УМВД России по Василеостровскому району СПб,37,"199406, Санкт-Петербург, ул. Карташихина, 23",(812) 573-04-34, (812) 356-37-02,(812) 573-04-34,майор полиции,Аксенов Сергей Сергеевич,(812) 573-04-35,"Вт., чт. 18.00-20.00",2014,https://78.мвд.рф/request_main,(812) 573-21-81,"1) Нелегал из Киргизии сбил на Университетской набережной юношу и скрылся, а после пришел с повинной  в 37 оп - ноябрь 2016: http://konkretno.ru/2015/07/09/nelegal-iz-kirgizii-sbil-na-universitetskoj-naberezhnoj-yunoshu-i-skrylsya.html ;
2) Северокорейский дипломат сбежал из Петербурга в Европу через Минск, в 37 оп обратился первый секретарь посольства КНДР в РФ
3) Санкт-Петербургского отделения торгово-экономических отношений Юн Чжон Хо, написав заявление о том, что с 1 июля этого года не видел своего подчиненного – третьего секретаря посольства - июль 2016: https://newdaynews.ru/northwest/572419.html
4) Гражданин пришел с заявлением в 37 оп, заявив, что украли его автомобиль - июль 2016: http://kavtoday.ru/17033 ;
5) Один из задержанных сообщил об избиении в 37 отделе полиции - ноябрь 2015: https://ovdinfo.org/express-news/2015/11/03/odin-iz-zaderzhannyh-soobshchil-ob-izbienii-v-otdele-policii
6) Спецназовец, избивший коллег, попал под амнистию, на почве внезапно возникших личных неприязненных отношений к трем сотрудникам 37-го отдела полиции Управления МВД России по Василеостровскому району, которых подозревал в преступлении, положил их лицом вниз на пол в проход между пассажирскими сидениями, избил ногой и рукой - июнь 2014: https://ok-inform.ru/obshchestvo/proisshestviya/15773-spetsnazovets-izbivshij-kolleg-popal-pod-amnistiyu.html ;",OP_37_ph1_gsw.jpg,отчёт о работе за 2016 год не опубликован,-,,,"police_station.png
"
Василеостровский,60 отдел полиции,УМВД России по Василеостровскому району СПб,60,"199155, Санкт-Петербург, ул. Кораблестроителей, 40-6",(812) 351-06-60,-,-,подполковник полиции,Мишин Илья Владимирович,(812) 573-05-24,Пн. 17.00-19.00,21.06.16,https://78.мвд.рф/request_main,(812) 573-21-81,"1) УМВД Приморского района предоставляет услуги по добровольной дактилоскопической регистрации - октябрь 2016: http://www.primorsknews.ru/news/2016-10-13/umvd-primorskogo-rayona-predostavlyaet-uslugi-po-dobrovolnoy-daktiloskopicheskoy-registratsii/  ;
2) Дерзкий вор средь бела дня обчистил питерский детсад - октябрь 2016: http://www.ntv.ru/novosti/1669438/ ;
3) В Петербурге гражданка Узбекистана дала взятку участковому - май 2016: http://rustelegraph.ru/news/2016-05-12/V-Peterburge-grazhdanka-Uzbekistana-dala-vzyatku-uchastkovomu-57293/ ;
4) В Василеостровском районе возбуждено уголовное дело в отношении жителя города, подозреваемого в даче взятки сотруднику полиции - февраль 2016: http://procspb.ru/news/spb/13830-v-vasileostrovskom-rayone-vozbuzhdeno-ugolovnoe-delo-v-otnoshenii-zhitelya-goroda-podozrevaemogo-v-dache-vzyatki-sotrudniku-policii ;
5) Мигрант приговорен к штрафу за взятку полицейскому -  сентябрь-октябрь 2015: http://shuum.ru/news/24836 ;
",OP_60_ph1.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Выборгский,19 отдел полиции,УМВД России по Выборгскому району СПб,19,"194064, Санкт-Петербург, Тихорецкий проспект, 14-2",(812) 550-19-02,-,-,полковник полиции ,Григорьев Виталий Викторович,(812) 573-10-64,Ср. (четные) 11.00-13.00   ср. (нечетные) 18.00-20.00,-,https://78.мвд.рф/request_main,(812) 573-21-81,"1) Петербурженка оставила коляску с 4-месячной дочерью на трамвайной остановке, полиция задержала мать, ее доставили в 19 оп - октябрь 2016: http://sankt-peterburg.glavny.tv/news/32889 ;
2) Петербурженка, запершая детей одних в квартире, объявилась на восьмой день, сотрудникам 19 оп удалось установить родителей - сентябрь 2016: https://riafan.ru/557586-peterburzhenka-zapershaya-detei-odnih-v-kvartire-obyavilas-na-vosmoi-den ;
3) Полицейские 19 отдела раскрыли ограбление автовладелицы - март 2016: https://78.xn--b1aew.xn--p1ai/news/item/7492736/ ;
4) В квартире на Введенской нашли боеприпасы, в результате бытового конфликта, женщину с ножевым ранением ноги доставили в больницу, а мужчину в 19 оп - ноябрь 2015: https://life.ru/t/life78/172051?from=lifenews78.ru
5) Полицейские в Петербурге избили и ограбили мигрантов; сотрудник 19 оп требовал 500 тысяч рублей за прекращение уголовного преследования от задержанного за хранение наркотиков - июль 2014: http://piter.tv/event/policejskie_izbili_ograbili_migrantov_/ ;",OP_19_ph1_gsw.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Выборгский,20 отдел полиции,УМВД России по Выборгскому району СПб,20,"194044, Санкт-Петербург, ул. Смолячкова, 15",(812) 542-20-02,-,-,подполковник полиции,Малышев Алексанр Борисович,(812) 542-57-85,"Ср. (четные) 11.00-13.00,   ср. (нечетные) 18.00-20.00, последняя суббота месяца 11.00-15.00",-,https://78.мвд.рф/request_main,(812) 573-21-81,"1) Кандидата «Парнаса» выпустили из 20 оп - июль 2016: http://mr7.ru/articles/135325/ ;
2) Участковый 20 оп избил настоятеля Евангелической лютеранской церкви - май 2016: http://www.spb.aif.ru/incidents/criminal/v_peterburge_uchastkovyy_izbil_nastoyatelya_evangelicheskoy_lyuteranskoy_cerkvi ;
3) Маршруточнику из Киргизии прострелили ногу, мигрант пришел в 20 оп - апрель 2016: http://www.gazeta.spb.ru/1947517-0/ ;
4) Педофил надругался над ученицей четвертого класса, мать обратилась в 20 оп - август 2015: https://nevnov.ru/115652-v-vyborgskom-rajone-pozhiloj-pedofil-zhestoko-nadrugalsya-nad-uchenicej-chetvertogo-klassa ;
5) Сотрудника 20-го отдела полиции подозревают в мошенничестве - май 2015: https://www.zaks.ru/new/archive/view/140071 ;
6) Пьяный начальник двадцатого оп попал в ДПТ - октябрь 2014: https://rrnews.ru/news/u5702/2014/10/21/85741 ;
",OP_20_ph1_gsw.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Выборгский,36 отдел полиции,УМВД России по Выборгскому району СПб,36,"194354, Санкт-Петербург, ул. Есенина, 2",(812) 553-36-02,(812) 573-10-85,-,подполковник полиции,Гаджиханов Расим Шабанович,(812) 293-62-80,Ср. (четные) 11.00-13.00   ср. (нечетные) 18.00-20.00,23.06.16,https://78.мвд.рф/request_main,(812) 573-21-81,"1) Пьяную девушку без штанов нашли на детской площадке в Петербурге, о случившемся поступило соощение от неизвестного в 36 оп - октябрь 2016: https://riafan.ru/560419-pyanuyu-devushku-bez-shtanov-nashli-na-detskoi-ploshchadke-v-peterburge ;
2) В Петербурге полиция ищет мужчину, выставившего на улицу 10-летнего мальчика, мальчика доставили в 36 оп - март 2016: http://www.spbdnevnik.ru/news/2016-03-28/k-politseyskim-na-stantsii--sportivnaya-2--prishel-10-letniy--poteryashka/ ;
3) Налетчик с трубой и молотком был задержан сотрудниками 36 оп - март 2016: https://nevnov.ru/440920-naletchik-s-truboi-i-molotkom-byl-zaderzhan-v-vyborgskom-raione-peterburga ;
4) Полиция отказалась возбуждать уголовное дело в отношении старшего лейтенанта, женщина и ее несовершеннолетние дети оказались в больнице, оказалось, женщина сама ""достаточно много ударялась"" о части автомобиля полицейских  - декабрь 2015: http://novayagazeta.spb.ru/articles/10074/ ;
5) Неизвестный позвонил дежурную часть 36 оп, сообщив о наличие бомбы в торговом центре - март 2015: http://konkretno.ru/2015/03/21/ukraina-miniruet-peterburg.html ;
",OP_36_ph1.jpg,отчёт о работе за 2016 год не опубликован,-,,,"police_station.png
"
Выборгский,49 отделение полиции,УМВД России по Выборгскому району СПб,49,"194362, Санкт-Петербург, п. Парголово, ул. Ломоносова, 90",-,(812) 573-11-18,(812) 594-84-10,майор полиции,Дмитриенко Николай Владимирович,(812) 573-11-19,Ср. (четные) 11.00-13.00   ср. (нечетные) 18.00-20.00,23.06.17,https://78.мвд.рф/request_main,(812) 573-21-81,"1) В ЖК «Северная долина» открыт опорный пункт полиции. Работу в новом пункте будут вести шесть участковых уполномоченных 49 оп - апрель 2016: http://journal.mirkvartir.ru/news/2016/04/20/v-jk-severnaa-dolina-otkrit-opornii-pynkt-policii/ ;
2) Женщина ударила ножом своего сожителя, гражданка была задержана опергруппой 49 оп - март 2016: http://rustelegraph.ru/news/2016-03-21/V-Vyborgskom-raione-28-letnyaya-zhenschina-udarila-nozhom-svoego-sozhitelya-53127/ ;
3) На севере Петербурга надругались над приезжей из Средней Азии, материалы передали в 49 оп - январь 2014: http://konkretno.ru/2014/01/20/na-severe-peterburga-nadrugalis-nad-priezzhej-iz-srednej-azii.html ;
4) Каждый год в ноябре сотрудники органов внутренних дел отмечают свой профессиональный праздник. И каждый год на торжественном собрании традиционно подводятся итоги, награждаются лучшие. Почетной грамотой главы администрации Тихвинского района удостоены главный эксперт 49-го отделения экспертно-криминалистического центра ГУ МВД России по Санкт-Петербургу и Ленинградской области подполковник Михаил Шмаков и начальник отделения делопроизводства и режима тихвинского ОМВД Евгения Скопинцева. - ноябрь 2013: http://tikhvin.spb.ru/11/23027/ ;
5) Мужики решили украсть бетонный забор, они были доставлены в 49 оп - сентябрь 2013: http://mr7.ru/articles/91865/ ;
",OP_49_ph1_nogood.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Выборгский,57 отдел полиции,УМВД России по Выборгскому району СПб,57,"194291, Санкт-Петербург, пр. Культуры, 12-3",(812) 559-57-02,-,-,подполковник полиции,Рарыкин Константин Николаевич,"(812) 558-91-01, (812) 573-11-28   ","Ср. (четные) 11.00-13.00,   ср. (нечетные) 18.00-20.00, последняя суббота месяца 11.00-15.00",-,https://78.мвд.рф/request_main,(812) 573-21-81,"1) Николай Валуев на несколько часов потерял сына в Петербурге, он обратился в 57 оп - май 2016: http://runews24.ru/saint-petersburg/31/05/2016/f06e4005510611458eac334444709a8e ;
2) Петербуржцы самостоятельно догнали автоугонщика, сотрудники 57 оп производили осмотр места проишествия - январь 2016: https://ok-inform.ru/obshchestvo/proisshestviya/52996-peterburzhtsy-samostoyatelno-dognali-avtougonshchika-na-ulitse-rudneva.html ;
3) Петербуржец заявил, что его избили в 57 оп - ноябрь 2015: https://life.ru/t/life78/169307?from=lifenews78.ru ;
4) Полиция Петербурга разыскивает пропавшую семиклассницу. Всю информацию просят сообщать в полицию по телефону «02» или в 57 оп - август 2015: http://topspb.tv/news/news82328/ ;
5) В Петербурге ищут 48-летнего совратителя 10-летней девочки, о случившемся заявила петербурженка в 57 оп - апрель 2015: http://www.rosbalt.ru/piter/2015/04/07/1385991.html ;
",NO_PHOTO.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Выборгский,58 отдел полиции,УМВД России по Выборгскому району СПб,58,"194355, Санкт-Петербург, ул. Хошимина, 8-1",(812) 517-58-02,-,-,подполковник полиции,Ильницкий Владимир Владимирович,(812) 573-11-93,Ср. (четные) 11.00-13.00   ср. (нечетные) 17.00-19.00,23.06.18,https://78.мвд.рф/request_main,(812) 573-21-81,"1) Задержали избирателя, разорвавшего бюллетени для голосования в знак протеста, его доставили в 58 оп - сентябрь 2016: http://www.rosbalt.ru/piter/2016/09/18/1551099.html ;
2) Кандидата от ПАРНАС отпустили через восемь часов после задержания в 58 оп - август 2016: https://ovdinfo.org/express-news/2016/08/29/kandidata-ot-parnas-otpustili-cherez-vosem-chasov-posle-zaderzhaniya-v-sankt ;
3) Санитара больницы оставили без джипа, потерпевший обратился в 58 оп - август 2016: http://www.gazeta.spb.ru/1969020-0/ ;
4) Пресечена деятельность притона для занятий проституцией, двоих мужчин и девять женщин доставили в 58 оп - июнь 2016: https://78.xn--b1aew.xn--p1ai/news/item/7941749/ ;
5) Подросток из Карелии, сбежавший из детдома, заблудился в Петербурге, он обратился в 58 оп - июнь 2016: http://konkretno.ru/2016/06/02/podrostok-iz-karelii-sbezhavshij-iz-detdoma-zabludilsya-v-peterburge.html",NO_PHOTO.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Выборгский,59 отдел полиции,УМВД России по Выборгскому району СПб,59,"194352, Санкт-Петербург, ул. Есенина, 27",(812) 517-59-02,-,-,подполковник полиции,Данилевич Игорь Тадович,(812) 517-42-81,"Вт. 18.00-20.0, чт. 18.00-20.00",-,https://78.мвд.рф/request_main,(812) 573-21-81,"1) Возможно, причиной грандиозного пожара в промзоне ""Парнас"" стал поджог. Об этом пишет ""Деловой Петербург"" со ссылкой на источники в 59 оп - октябрь 2015: http://www.extrablog.su/news/2015-10-26/ne-samo-zagorelos-na-parnase/ ;
2) В иномарке нашли пистолет и рации, водителя доставили в 59 оп - октябрь 2015:  http://argumenti.ru/crime/2015/10/418451 ;
3) Серийный налетчик, полгода державший в страхе магазины ""Юлмарт"", сдался полиции  59 отдела - июль 2015: http://www.gazeta.spb.ru/1868773-0/ ;
4) Спасатели уговорили суицидника не прыгать из окна - май 2015: http://www.spb.kp.ru/online/news/2064458/ ;
5) Самые позитивные и негативные районы Петербурга в июле(59 оп минировали) - август 2014: http://neva.today/news/90938/ ;
6) ИКМО № 15 встал стеной на защиту от журналистов (в том числе сотрудники 59 оп препятствовали осуществлению профессиональной деятельности журналистов)  - июль 2014: https://lenizdat.ru/articles/1121984/",OP_59_ph1_gsw.jpg,отчёт о работе за 2016 год не опубликован,-,,,"police_station.png
"
