Район,Подразделение,Кому подчиняется,ID,Адрес,Тлф1,Тлф2,Тлф3,"Должность, звание",ФИО,Тел. начальника,График приема,Дата последней инспекции,Подать заявление через электронную приёмную,Горячая линия МВД по СПб И ЛО,Новости,Фото здания,Отчёты о работе руководителя подразделения,Комментарий,Скрытые комментарии,Цифра,Иконка
Калининский,3 отдел полиции,УМВД России по Калининскому району СПб,3,"195256, Санкт-Петербург, Северный проспект, 79",(812) 533-03-02,-,-,полковник полиции ,Буров Сергей Валерьевич,(812) 533-11-53,"Вт. 17.00-20.00, 3-я сб. месяца 10.00-14.00",-,https://78.мвд.рф/request_main,(812) 573-21-81,"1) Две девочки сбежали из детского сада. Сотрудники дежурной части 3 отдела полиции получили сообщение о происшествии - август 2016: https://nevnov.ru/456867-dve-devochki-sbezhali-iz-detskogo-sada-na-severnom-prospekte-v-peterburge ;
2) 12-летний мальчик вдохнул неизвестное вещество и попал из 3 отделения полиции в больницу - февраль 2016: https://ok-inform.ru/obshchestvo/proisshestviya/55545-v-peterburge-12-letnij-malchik-vdokhnul-neizvestnoe-veshchestvo-i-popal-iz-politsii-v-bolnitsu.html ;
3) «ПарНаС» подготовил заявление в прокуратуру на сторонников Кадырова. “Посмотрим, слабо ли им привлечь к ответственности людей Кадырова так же, как в прошлом году они полгода за нами посылали оперов из ЦПЭ, участковых 3 отделов полиции, и станут ли они заводить дело об административном правонарушении”, – прокомментировал своё решение Лев Дмитриев в социальной сети “Вконтакте”. - январь 2016: http://bezduhovnosti.com/2016/01/26/%D0%BF%D0%B0%D1%80%D0%BD%D0%B0%D1%81-%D0%BF%D0%BE%D0%B4%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D0%B8%D0%BB-%D0%B7%D0%B0%D1%8F%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5-%D0%B2-%D0%BF%D1%80%D0%BE%D0%BA%D1%83%D1%80/ ;
4) Не удалось осудить полицейского 3 отдела за избиение задержанного - сентябрь 2015: http://chto-proishodit.ru/news/2015/09/04/47990025303 ;
5) Молодых людей задержаны за кражу алкоголя из гипермаркета, оперативно-разыскные мероприятия проводили 3 и 4 оп - июнь 2015: https://78.xn--b1aew.xn--p1ai/news/item/3531871/ ;",NO_PHOTO.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Калининский,6 отдел полиции,УМВД России по Калининскому району СПб,6,"195257, Санкт-Петербург, Гражданский проспект, 90-8",(812) 533-06-02,-,-,полковник полиции,Морозов Константин Владимирович (Кузин Артем Владимирович),(812) 533-99-56, Вт. 17.00-19.00,-,https://78.мвд.рф/request_main,(812) 573-21-81,"1) Сотрудниками 6 оп раскрыт дерзкий квартирный грабеж - октябрь 2016: https://78.xn--b1aew.xn--p1ai/news/item/8814617/ ;
2) Жительницу Калининского района будут судить за ложный донос о краже, гражданка с заявлением обратилась в 6 оп - октябрь 2016: http://www.kalininnews.ru/news/2016-10-04/zhitelnitsu-kalininskogo-rayona-budut-sudit-za-lozhnyy-donos-o-krazhe/ ;
3) Двое малышей в Петербурге отравились психотропными таблетками, инцидентом заинтересовался 6 оп - октябрь 2016: https://riafan.ru/560098-dvoe-malyshei-v-peterburge-otravilis-psihotropnymi-tabletkami ;
4) В 6 оп пенсионер добровольно сдал нарезное огнестрельное оружие и боеприпасы времён Великой Отечественной войны - март 2016: https://78.xn--b1aew.xn--p1ai/news/item/7477789/ ;
5) Пьяный петербуржец ударил полицейского 6 отдела в лицо - февраль 2016: https://nevnov.ru/437006-pyanyi-peterburzhec-udaril-policeiskogo-v-lico ;
6) Life78 публикует первое видео нападения маньяка-форточника. Насильник-форточник орудует на территории 3 и 6 отделов полиции Калининского района уже более пяти лет - декабрь 2015: https://life.ru/t/life78/177436?from=lifenews78.ru ;


",OP_06_ph1_gsw.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Калининский,15 отдел полиции,УМВД России по Калининскому району СПб,15,"195265, Санкт-Петербург, ул. Лужская, 9",(812) 531-15-02,-,-,полковник полиции ,Ковалёв Андрей Рубенович ,(812) 531-15-02,Пн. 17.00-19.00,22.06.16,https://78.мвд.рф/request_main,(812) 573-21-81,"1) Адвокат заказал бизнесмена капитану полиции - апрель 2016: http://mir24.tv/news/incidentes/14273342 ;
2) Очередное автохищение оказалось ложным - февраль 2016: http://procspb.ru/news/spb/13734-v-kalininskom-rayone-ocherednoe-avtohishchenie-okazalos-lozhnym ;
3) С поличным задержаны участники квартирного разбоя - декабрь 2015: https://78.мвд.рф/news/item/6940452/ ;
4) Сотрудниками полиции задержаны двое злоумышленников, которые в ночь на четверг с целью угона проникли в автомобиль «УАЗ - ноябрь 2014: https://78.мвд.рф/news/item/2833750/ ;
5) На ""русской зачистке"" в Петербурге задержали около 20 националистов - август 2013: http://www.rosbalt.ru/piter/2013/08/21/1166866.html ;
6) В Петербурге будут судить полицейских и медиков, покрывавших пьяного оперативника-водителя - май 2013: https://www.gazeta.ru/auto/news/2013/05/20/n_2922053.shtml ;
",OP_15_ph1.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Калининский,17 отдел полиции,УМВД России по Калининскому району СПб,17,"195276, Санкт-Петербург, ул. Демьяна Бедного, 26-1Е",-,(812) 559-95-48,-,майор полиции ,Гужва Евгений Анатольевич,(812) 559-95-49,Вт. 17.00-20.00,30.06.16,https://78.мвд.рф/request_main,(812) 573-21-81,"1) На Демьяна Бедного брат с сестрой разгромили машину и побили полицейского. Их доставили в 17 оп - октябрь 2016: http://www.fontanka.ru/2016/10/31/088/ ;
2) Задержали троих юных автоугонщиков. Сотрудники уголовного розыска 17 опостановили автомобиль с явными признаками угона - октябрь 2016: https://78.xn--b1aew.xn--p1ai/news/item/8822426/ ;
3) В Петербурге будут судить водителя автобуса, пытавшегося в 17 оп выкупить своего знакомого - июль 2016: http://ianews.ru/articles/83548/ ;
4) Сотрудники предприятий Калининского района попробуют сдать нормы ГТО, в том числе и сотрудники 17 оп - август 2015: https://nevnov.ru/114183-sotrudniki-predpriyatij-kalininskogo-rajona-poprobuyut-sdat-normy-gto ;
5) Сотрудники 17 оп задержали мужчину, который из хулиганских побуждений сообщил о, якобы, заминировании одной из квартир - октябрь 2015: https://78.xn--b1aew.xn--p1ai/news/item/2608766/ ;
",OP_17_ph1.jpg,отчёт о работе за 2016 год не опубликован,-,,,"police_station.png
"
Калининский,21 отдел полиции,УМВД России по Калининскому району СПб,21,"195271, Санкт-Петербург, Кондратьевский пр., 87",(812) 545-21-02,-,-,подполковник полиции ,Андреев Вячеслав Николаевич,(812) 531-15-02545-12-57,Вт. 17.00-19.00,22.06.16,https://78.мвд.рф/request_main,(812) 573-21-81,"1) Полицией 21 отдела задержан гражданин, который не расплатился за топливо на одной из автозаправочных станций - ноябрь 2016: https://78.xn--b1aew.xn--p1ai/news/item/8850584/ ;
2) Похищенный в Петербурге трехлетний ребенок найден (в 21 оп поступило заявление от приемной матери) - сентябрь 2016: https://riafan.ru/559178-pohishchennyi-v-peterburge-trehletnii-rebenok-naiden ;
3) Фанаты Цоя предстанут перед судом за жестокое избиение петербуржца на Богословском кладбище, в 21 оп были доставлены все 15 человек, которые в момент проишествия находились у могилы Цоя - август 2016: http://sankt-peterburg.glavny.tv/news/27752 ;
4) В ГУ МВД прокомментировали инцидент с петербуржцем, у которого забрали 2-летнюю дочь, у 41-летнего петербуржца, который пришел пожаловаться на полицейских в 21 оп, отняли двухлетнего ребенка - май 2016: http://www.fontanka.ru/2016/05/16/130/ ;
5) Неравнодушные прохожие спасли женщину с грудничком, отравившуюся таблетками, местная жительница обратилась в 21 оп - май 2016: http://www.gazeta.spb.ru/1955923-0/",OP_21_ph1_gsw.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Кировский,8 отдел полиции,УМВД России по Кировскому району СПб,8,"198255, Санкт-Петербург, ул. Лени Голикова, 31-2",(812) 752-08-02,-,-,полковник полиции,Мироненков Виталий Евгеньевич,(812) 531-15-02573-13-91,Пт. 11.00-13.00,-,https://78.мвд.рф/request_main,(812) 573-21-81,"1) Сотрудниками 8 оп задержан гражданин, который предоставил квартиру для употребления наркотических средств - июнь 2016: http://www.kirnews.ru/news/2016-06-29/borba-s-narkopritonami-v-kirovskom-rayone/ ;
2) Полиция разыскивает злоумышленниц, похитивших крупную сумму денег у 79-летней петербурженки - июнь 2016: https://78.xn--b1aew.xn--p1ai/news/item/8018149/ ;
3) Градозащитники возмущены работой 8 оп - май 2016: http://mr7.ru/articles/132048/ ;
4) Наркодилер дал взятку полицейским, а потом аннулировал платеж - февраль 2016: http://www.spb.aif.ru/incidents/criminal/narkodiller_dal_vzyatku_policeyskim_a_potom_annuliroval_platezh ;
5) Оперуполномоченного 8 отдела полиции Петербурга Александра Свинухова подозревают во взяточничестве - март 2015: http://topdialog.ru/2015/03/25/sotrudnik-ugrozyska-peterburga-vymogal-dengi-u-materi-narkodilera-sk/ ;

",OP_08_ph1_gsw.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Кировский,31 отдел полиции,УМВД России по Кировскому району СПб,31,"198097, Санкт-Петербург, ул. Севастопольская, 50/11",(812) 252-07-02,-,-,полковник полиции,Кириченко Андрей Викторович,(812) 531-15-02573-13-80,Ср. 16.00-20.00 ,-,https://78.мвд.рф/request_main,(812) 573-21-81,"1) 18-летний мигрант насмерть забил мужчину в торговом центре, вскоре сотрудники 31 оп задержали 18-летнего безработного - сентябрь 2016: http://www.metronews.ru/novosti/v-peterburge-18-letnij-migrant-nasmert-zabil-muzhchinu-v-torgovom-centre/Tpopil---GP_Jba4E6n1vF34CbopSew/ ;
2) Задержан предполагаемый террорист из Узбекистана, его доставили в 31оп - ноябрь 2015: http://www.chaspik.spb.ru/crime/v-peterburge-zaderzhan-predpolagaemyj-terrorist-iz-uzbekistana/ ;
3) Начальник 31 оп получил выговор за подчиненного, задержанного с наркотиком на работе - октябрь 2015: http://www.fontanka.ru/2015/10/14/077/ ;
4) В 31-й отдел полиции Петербурга обратилась 37-летняя женщина и сообщила, что её 33-летний сожитель в течение долгого времени насиловал девочку, полиция задержала мужчину - ноябрь 2015: http://www.chaspik.spb.ru/crime/policiya-zaderzhala-pedofila-nasilovavshego-nesovershennoletnyuyu-dochku-sozhitelnicy/#ixzz4Okk7kF00
",NO_PHOTO.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Кировский,64 отдел полиции,УМВД России по Кировскому району СПб,64,"198303, Санкт-Петербург, пр. Маршала Жукова, 30-3",(812) 573-14-64,(812) 757-64-02,-,полковник полиции,Смирнов Леонид Валерьевич,(812) 531-15-02573-14-50,Пн. 18.00-20.00,23.06.16,https://78.мвд.рф/request_main,(812) 573-21-81,"1) ""Петербургский Бэтмен"", спасший женщину: Буду показывать свои награды маме - октябрь 2016: https://life.ru/t/life78/916325/pietierburghskii_betmien_spasshii_zhienshchinu_budu_pokazyvat_svoi_naghrady_mamie ;
2) Автобус с ЛГБТ-активистами едет в 64-й отдел полиции Кировского района Петербурга - май 2016: http://www.rosbalt.ru/piter/2016/05/01/1511386.html ;
3) Посетителей ТРК «Французский бульвар» экстренно эвакуировали - январь 2016: https://nevnov.ru/433853-posetitelej-trk-francuzskij-bulvar-ekstrenno-evakuirovali ; 
4) Вор-рецидивист изобличен в краже из коммунальной квартиры и хищении автомобиля - декабрь 2015: https://78.мвд.рф/news/item/6884163/ ;
5) В отношении трех полицейских из Кировского района возбуждено уголовное дело - май 2015: http://polit.neva.today/news/111704/ ;",OP_64_ph1.jpg,отчёт о работе за 2016 год не опубликован,-,,,"police_station.png
"
Колпинский,39 отдел полиции,ОМВД России по Колпинскому району СПб,39,"196641, Санкт-Петербург, п. Металлострой, ул. Центральная, 24",-,(812) 464-02-02,-,подполковник полиции,Шкурко Василий Владимирович,(812) 531-15-02573-06-06,"Пн. 18.00-20.00, чт. 10.00-12.00",-,https://78.мвд.рф/request_main,(812) 573-21-81,"1) Житель Металлостроя заявил в полицию о том, что его избил депутат, в 39 оп приняли заявление - сентябрь 2016: http://www.fontanka.ru/2016/09/25/049/ ;
2) Грабитель с молотком забрал 2 планшета с драгоценностями, группа оперуполномоченных 39 оп отрабатывает комплекс розыскных мероприятий - июль 2016: http://svopi.ru/kriminalnie_novosti/113716 ;
3) Житель обнаружил предмет, похожий на снаряд времен ВОВ. Проверку проводил 39 оп - май 2016: http://www.newskolpino.ru/news/2016-05-17/ekho-voyny-zhitel-poselka-metallostroy-nashel-minametnuyu-minu/ ;
4) Перед судом предстанет жительница города, обвиняемая в совершении преступлений в сфере незаконного оборота психотропных веществ, оперативно-розыскные мероприятия в отношении жительницы городапроводились сотрудниками 39 оп - июль 2015: http://procspb.ru/news/spb/12489-v-kolpino-pered-sudom-predstanet-zhitelnica-goroda-obvinyaemaya-v-sovershenii-prestupleniy-v-sfere-nezakonnogo-oborota-psihotropnyh-veshchestv ;
5) В поселке Металлострой нашли череп ребенка. Проверку по факту обнаружения останков проводит 39 оп - апрель 2015: http://www.gazeta.spb.ru/1830980-0/ ;",NO_PHOTO.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Колпинский,55 отдел полиции,ОМВД России по Колпинскому району СПб,55,"196657, Санкт-Петербург, г. Колпино, бульвар Трудящихся, 32",(812) 573-06-12,(812) 481-02-02,-,полковник полиции,Левашов Артем Валерьевич,(812) 531-15-02573-06-12,"Чт. 1,3-ий -17.00-19.00; чт. 2,4-ый 10.00-12.00",-,https://78.мвд.рф/request_main,(812) 573-21-81,"1) Сотрудник 55 отделения полиции попался на взятке - сентябрь 2015: http://kolpino.allnw.ru/news/239491 ;
2) Задержаны семеро нетрезвых хулиганов - октябрь 2014: https://78.xn--b1aew.xn--p1ai/news/item/2642249/ ;
3)Четверо граждан задержаны за незаконное хранение наркотиков (нарядом 55 оп задержана 38-летняя женщина)  - сентябрь 2014: https://78.xn--b1aew.xn--p1ai/news/item/2502313/ ;
4) За сутки два человека выпрыгнули из окон, в 55 оп поступило сообщение от врачей ""скорой помощи"" - май 2014: http://www.metronews.ru/novosti/v-kolpino-za-sutki-dva-cheloveka-vyprygnuli-iz-okon/Tponez---SMHohhQZj9qK2/ ;
5) Полицейские гонялись со стрельбой за 15-летним угонщиком, позже доставив в 55 оп - январь 2014: http://spbvoditel.ru/2014/01/21/051/ ;",OP_55_ph1_gsw_nogood.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Колпинский,80 отдел полиции,ОМВД России по Колпинскому району СПб,80,"196655, Санкт-Петербург, г. Колпино, ул. Ижорского батальона, 21",(812) 573-06-22,-,-,"ВРИО, капитан полиции",Красавин Андрей Алексеевич,(812) 531-15-02576-06-25,"Пн. 16.00-18.00, ср. 12.00-15.00, пт. 16.00-18.00   ",-,https://78.мвд.рф/request_main,(812) 573-21-81,"1) Жителя Колпино задержали после неудачной шутки о захвате автобуса моджахедами, ""шутника"" увезли в 80 оп - октябрь 2016:  http://www.chaspik.spb.ru/incident/zhitelya-kolpino-zaderzhali-posle-neudachnoj-shutki-o-zaxvate-avtobusa-modzhaxedami-92392/#ixzz4OlhEXgAi ;
2) Гражданину Украины за использование заведомо подложного документа в 80 оп и взятку назначено наказание - декабрь 2015: http://www.newskolpino.ru/news/2015-12-27/grazhdaninu-ukrainy-za-ispolzovanie-zavedomo-podlozhnogo-dokumenta-i-vzyatku-naznacheno-nakazanie-v-vide-7-mesyatsev-lisheniya-svobody-i-shtrafom-v-razmere-150-000-rubley/ ;
3) Подполковник 80 оп стал фигурантом уголовного дела о смертельном ДТП - декабрь 2015: http://topspb.tv/news/news93380/ ;
4) Прокуратура организовала проведение проверки по сообщению жителя города о стае бездомных собак, сообщение поступило в 80 оп - июнь 2015: http://procspb.ru/news/spb/12248-prokuratura-kolpinskogo-rayona-organizovala-proverku-po-soobshcheniyu-o-stae-bezdomnyh-sobak-nahodyashchihsya-vblizi-detskogo-obrazovatelnogo-uchrezhdeniya ;
5) Мужчина хочет привлечь к уголовной ответственности 14-летнего сына, в 80 оп пришел заявитель - февраль 2015: http://newsfordrivers.com/autonews/10328-zhitel-sankt-peterburga-xochet-privlech-k-ugolovnoj-otvetstvennosti-14-letnego-syna-ugnavshego-mitsubishi-outlander.html ;
6) Патруль наткнулся на амфетаминщиков, нарушители были доставлены в 80 оп - август 2014: https://ok-inform.ru/obshchestvo/proisshestviya/kriminal/19703-v-kolpino-patrul-natknulsya-na-amfetaminshchikov.html ;",OP_80_ph1_gsw.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Красногвардейский,13 отдел полиции,УМВД России по Красногвардейскому району СПб,13,"195426, Санкт-Петербург, пр. Передовиков, 3",(812) 573-15-84,-,-,полковник полиции,Монин Артем Валерьевич,(812) 531-15-02573-15-90,"Вт. 10.00-12.00, чт. 17.00-19.00",08.16,https://78.мвд.рф/request_main,(812) 573-21-81,"1) Пятеро оперативников МВД из 13 оп  оказались мошенниками - март 2015: http://www.kp.ru/online/news/1999234/ ; 
2) Сотрудники 13 оп задержали похитителя велосипеда  - июль 2014: http://neva.today/news/89868/ ;
3) Сотрудников 13 оп подозревают в избиении и незаконном обыске жилья - май 2014: http://www.rosbalt.ru/piter/2014/05/06/1265295.html ;
4) Мужчина угрожал случайным прохожим игрушечным пистолетом, его доставили в 13 оп - ноябрь 2013: http://www.rosbalt.ru/piter/2013/11/19/1201277.html ;
5) Против «Хрюш» завели уголовное дело. Причиной расследования стал инцидент в питерском универсаме «Народный». Прибывшие на место конфликта сотрудники 13 оп урегулировали ситуацию, задержав, в том числе, нескольких участников «Хрюш» - июль 2012: http://finam.info/news/protiv-hryush-zaveli-ugolovnoe-delo/ ;

",OP_13_ph1.jpg,отчёт о работе за 2016 год не опубликован,-,,,"police_station.png
"
Красногвардейский,22 отдел полиции,УМВД России по Красногвардейскому району СПб,22,"195176, Санкт-Петербург, пр. Металлистов, 13",(812) 573-16-06,-,-,подполковник полиции,Каменщиков Никита Владимирович,(999) 045-50-55       ,"Вт. 10.00-12.00, чт. 17.00-19.00",2014,https://78.мвд.рф/request_main,(812) 573-21-81,"1) Около 50 человек задержано сегодня в Санкт-Петербурге в ходе акции ""ЛГБТ-Прайд"", задержанные находятся в том числе и в 22 оп - июнь 2013: https://ovdinfo.org/express-news/2013/06/29/okolo-50-chelovek-zaderzhano-segodnya-v-sankt-peterburge-v-hode-akcii-lgbt ;
2) Чтобы занять место на парковке, мужчина разбил лопатой стекла чужого автомобиля. его доставили в 22 оп - апрель 2013: http://www.kp.ru/online/news/1404682/ ;
3) Женщина устроила резню на улице, двое в больнице, ее доставили в 22 оп - декабрь 2012: http://mr7.ru/articles/63974/ ;",NO_PHOTO.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Красногвардейский,26 отдел полиции,УМВД России по Красногвардейскому району СПб,26,"195030, Санкт-Петербург, Ириновский пр., 46",(812) 573-16-13,-,-,полковник полиции,Барановский Анатолий Васильевич,(812) 531-15-02573-16-17,Пн. 17.00-19.00                              ,2014,https://78.мвд.рф/request_main,(812) 573-21-81,"1) За убийство подозреваемого в 26 отделении полиции Санкт-Петербурга полицейского уволили из МВД - ноябрь 2015: http://skandalspb.ru/obschestvo/za-ubiystvo-podozrevaemogo-v-26-otdelenii-politsii-sankt-peterburga-politseyskogo-uvolili-iz-mvd.html  Здесь подробно:  http://paperpaper.ru/otdel/ 26.12.2016 ;
2) Полиция задержала мошенника, пытавшегося выманить у пенсионерки 30 тысяч рублей, его доставили в 26 оп - июль 2014: http://neva.today/news/90588/ ;
3) У станции ""Ржевка"" в Петербурге дрались двенадцать гастарбайтеров, восьмерых приезжих жоставили в 26 оп - сентябрь 2012: http://www.rosbalt.ru/piter/2012/09/18/1035733.html ;
4) Петербургский школьник-футболист не потерял селезенку, но находится в реанимации. по информации 26 оп, родители мальчика не имеют никаких претензий к друзьям сына не имеют - март 2012: http://mr7.ru/articles/50862/ ;
",OP_26_ph1_gsw.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Красногвардейский,52 отдел полиции,УМВД России по Красногвардейскому району СПб,52,"195112, Санкт-Петербург, Заневский пр., 28-2",(812) 573-15-96,-,-,подполковник полиции,Татаров Андрей Николаевич,(812) 531-15-02573-15-97,Чт. 18.00-20.00                 ,08.16,https://78.мвд.рф/request_main,(812) 573-21-81,"1) 60 человек были задержаны на акции в поддержку ""узников Болотной"" в Петербурге. По сведениям координаторов, люди находятся в нескольких отделениях – 78, 52-м и 28-м - февраль 2014: http://www.bbc.com/russian/russia/2014/02/140224_manezhnaya_detentions.shtml ;
2) На Дворцовой площади полиция задержала 29 националистов, танцевавших в масках
""Поймать удалось 29 человек, их доставили в 52 отдел полиции - ноябрь 2013: http://www.rosbalt.ru/piter/2013/11/04/1195764.html ;
3) Около 50 человек задержано сегодня в Санкт-Петербурге в ходе акции ""ЛГБТ-Прайд"". По информации координаторки акции задержанные сейчас находятся в 78,52 и 22 отделении полиции - июнь 2013: https://ovdinfo.org/express-news/2013/06/29/okolo-50-chelovek-zaderzhano-segodnya-v-sankt-peterburge-v-hode-akcii-lgbt ;
4) Шестеро хулиганов были задержаны полицейскими и доставлены в 52 оп - ноябрь 2012: http://www.metronews.ru/novosti/v-peterburge-po-prohozhim-streljali-iz-pnevmatiki/Tpolkf---Ke0mVDaydzHc/ ;

",OP_52_ph1.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Красногвардейский,66 отдел полиции,УМВД России по Красногвардейскому району СПб,66,"195067, Санкт-Петербург, ул. Бестужевская, 59",(812) 573-16-20,-,-,полковник полиции,Татарских Вадим Борисович   (Федоров Александр Владимирович),(812) 531-15-02573-10-26,"Вт. 10.00-12.00, чт. 17.00-19.00                                   ",21.07.16,https://78.мвд.рф/request_main,(812) 573-21-81,"1) Сотрудника «Справедливой России» задержали в Петербурге. Вместе с ним в полицию забрали журналиста Андрея Гореликова. Их доставили в 66 оп - апрель 2016: http://mr7.ru/articles/130246/ ;
2) 75-летний отец-профессор подозревается в убийстве сына-доцента Политеха, он был задержан 66 оп - март 2016: http://rostovdrive.ru/v-peterburge-za-ubijstvo-syna-dotsenta-zaderzhan-professor-politeha/ ;
3) Помощник прокурора Красногвардейского района стал жертвой угонщиков, он обратился в 66 оп - ноябрь 2015: http://www.gazeta.spb.ru/1912220-0/ ;
4) Хозяин вечеринки пытался зарезать гостей. задержанного доставили в 66 оп - апрель 2015: http://www.baltinfo.ru/2015/04/07/V-Peterburge-khozyain-vecherinki-pytalsya-zarezat-gostei-487612 ;
5) Владельцы гаражей в Санкт-Петербурге обороняют новые ""Рубежи"". Владельцы гаражей подали заявление в 66 оп. Карпов подчеркнул, что поначалу сотрудники МВД принимать заявления не хотели и гражданам пришлось прибегнуть к помощи дежурного прокурора по городу - декабрь 2012: https://regnum.ru/news/accidents/1478553.html 
",NO_PHOTO.jpg,отчёт о работе за 2016 год не опубликован,-,,,"police_station.png
"
Красносельский,9 отдел полиции,УМВД России по Красносельскому району СПб,9,"198320, Санкт-Петербург, ул. Бронетанковая, 10-1",(812) 741-80-02,-,-,полковник полиции,Ерофеев Алексей Анатольевич,(812) 531-15-02573-54-93,Ср. 18.30-20.00,-,https://78.мвд.рф/request_main,(812) 573-21-81,"1) Подросток воровал шины припаркованного автомобиля, он был доставлен в 9 оп - сентябрь 2013: http://www.rosbalt.ru/piter/2013/09/19/1177600.html ;
2) Полицейскому из Санкт-Петербурга пришлось убить собаку для спасения семьи с ребенком. На семью напала их собственная собака,и женщина обратилась в 9 оп - февраль 2013:  http://www.chaspik.spb.ru/incident/policejskomu-iz-sankt-peterburga-prishlos-ubit-sobaku-dlya-spaseniya-semi-s-rebenkom/ ;",OP_09_ph1_gsw.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Красносельский,42 отдел полиции,УМВД России по Красносельскому району СПб,42,"198206, Санкт-Петербург, ул. 2-я Комсомольская, 4",-,(812) 573-55-27,-,подполковник полиции,Бербасов Николай Михайлович,(812) 573-55-27,Ср. 18.00-20.00,06.16,https://78.мвд.рф/request_main,(812) 573-21-81,- ,OP_42_ph1_gsw.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
