Район,Подразделение,Кому подчиняется,ID,Адрес,Тлф1,Тлф2,Тлф3,"Должность, звание",ФИО,Тел. начальника,График приема,Дата последней инспекции,Подать заявление через электронную приёмную,Горячая линия МВД по СПб И ЛО,Новости,Фото здания,Отчёты о работе руководителя подразделения,Комментарий,Скрытые комментарии,Цифра,Иконка
Красносельский,54 отдел полиции,УМВД России по Красносельскому району СПб,54,"198329, Санкт-Петербург, ул.Тамбасова, 4",(812) 730-45-11,(812) 573-55-46,-,подполковник полиции,Плетенец Андрей Алексеевич,(812) 573-55-57,Ср. 17.00-20.00,06.16,https://78.мвд.рф/request_main,(812) 573-21-81,"1) СК не стал возбуждать дело из-за смерти журналиста. Полиция Петербурга также проводила служебную проверку по факту смерти мужчины. По результатам начальник 54-го отдела полиции получил выговор, девушка-участковая, которая выходила к квартире, но не смогла ее открыть, получила неполное служебное соответствие. Также дисциплинарные взыскания получили дежурные 54-го отдела полиции - июнь 2014: http://www.fontanka.ru/2016/06/30/083/ ;
2) Водитель заявил машину в угон, чтобы скрыть ДТП, он обратился в 54 оп - январь 2015: http://spbvoditel.ru/2015/01/27/044/ ;
3) Дворника подозревают в «заминировании» больницы, в результате проведенных оперативно-розыскных мероприятий опергруппой 54 оп его задержали - январь 2015: http://topdialog.ru/2015/01/13/v-peterburge-dvornika-podozrevayut-v-zaminirovanii-bolnicy-na-avangardnoj-ulice/ ;
4) Прокуратура взяла под контроль дело об исчезновении директора завода «Coca-Cola», изначально в 54 оп поступило обращение о безветном исчезновании Сошнева - декабрь 2014: http://mr7.ru/articles/109122/ ;
5) На ""русской зачистке"" в Петербурге задержали около 20 националистов - август 2013: http://www.rosbalt.ru/piter/2013/08/21/1166866.html ;",NO_PHOTO.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Красносельский,74 отдел полиции,УМВД России по Красносельскому району СПб,74,"198332, Санкт-Петербург, ул. Доблести, 5",(812) 573-55-63,-,-,подполковник полиции,Сурмиевич Игорь Александрович,(812) 573-66-41,Ср. 18.00-20.00,29.06.16,https://78.мвд.рф/request_main,(812) 573-21-81,"1) В Санкт-Петербурге полицейские задержали безработного, который напал на двух школьников - октябрь 2016: http://kapital-rus.ru/news/333497-v_sanktpeterburge_policeiskie_zaderjali_bezrabotnogo_kotoryi_napal_n/ ;
2) Полиция ищет мужчину, который совершал развратные действия в отношении школьника - июль 2016: https://nevnov.ru/451400-pedofil-razvrashchal-vtoroklassnika-v-krasnoselskom-raione-peterburga ;
3) Полиция разыскивает 10-летнюю девочку - февраль 2016: https://78.мвд.рф/news/item/7296264/ ;
4) Бывшего оперуполномоченного 74-го отдела полиции Санкт-Петербурга признали членом банды - октябрь 2015: http://pravo.ru/review/view/123410/ ;
5) Бывший глава института МВД сообщил в 74 отдел полиции, что лишился своей элитной иномарки - июль 2015: https://nevnov.ru/109899-byvshij-glava-instituta-mvd-lishilsya-svoej-elitnoj-inomarki ;
6) На ""русской зачистке"" в Петербурге задержали около 20 националистов - август 2013: http://www.rosbalt.ru/piter/2013/08/21/1166866.html ;",OP_74_ph1_nogood.JPG,отчёт о работе за 2016 год не опубликован,-,,,"police_station.png
"
Красносельский,82 отдел полиции,УМВД России по Красносельскому району СПб,82,"198332, Санкт-Петербург, Ленинский пр., 98-1",-,(812) 573-64-10,-,подполковник полиции,Мишенин Владимир Александрович,(812) 573-64-10,Ср. 18.00-20.00 ,29.06.16,https://78.мвд.рф/request_main,(812) 573-21-81,"1) Задержаны подозреваемые в разбойном нападении - апрель 2015: https://78.мвд.рф/news/item/3308926/ ;
2) Против участкового 82 отдела полиции возбуждено уголовное дело по факту ДПТ - октябрь 2014: http://shuum.ru/news/21413 ;
3) На ""русской зачистке"" в Петербурге задержали около 20 националистов - август 2013:  http://www.rosbalt.ru/piter/2013/08/21/1166866.html ;
4) Задержанных на ""Русской зачистке"" снова оставили на ночь в отделах полиции из-за ошибок в протоколах - август 2013: https://www.zaks.ru/new/archive/view/114222 ;
5) Выпущенные из полиции активисты ""Русской зачистки"" поехали фиксировать побои - август 2013: https://www.zaks.ru/new/archive/view/114234 ;",NO_PHOTO.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Красносельский,84 отдел полиции,УМВД России по Красносельскому району СПб,84,"198264, Санкт-Петербург, ул. Тамбасова, 9",-,(812) 573-64-32,-,подполковник полиции,Патрушев Дмитрий Викторович,(812) 573-64-33,Ср.18.00-20.00,-,https://78.мвд.рф/request_main,(812) 573-21-81,-,OP_84_ph1_gsw.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Кронштадтский,Дежурная часть ОМВД Кронштадтского района,ОМВД России по Кронштадтскому району СПб,ДКР,"197760, Санкт-Петербург, г. Кронштадт, пр. Ленина, 20",(812) 311-02-02,-,-,майор полиции,Миннегалиев Талгат Молахматович,(812) 573-17-39,Пн.-пт. 9.00-18.00,24.06.16,https://78.мвд.рф/request_main,(812) 573-21-81,"1) В Финском заливе утонул пожилой петербуржец, сообщение поступило в дежурную часть УМВД по Кронштадтскому району - апрель 2012: http://konkretno.ru/2012/04/09/v-finskom-zalive-utonul-pozhiloj-peterburzhec.html ;",DC_kronsht_ph1_gsw.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Курортный,Дежурная часть ОМВД Курортного района СПб,ОМВД России по Курортному району СПб,ДКУР,"197701, Санкт-Петербург, г. Сестрорецк, ул. Володарского, д.7, к.9",(812) 437-02-02,-,-,старший лейтенант полиции,Пилюгин Игорь Александрович,(812) 437-02-02,Пн.-пт. 9.00-18.00,-,https://78.мвд.рф/request_main,(812) 573-21-81,-,DC_kurort_ph1_gsw.jpg,отчёт о работе за 2016 год не опубликован,-,,,"police_station.png
"
Курортный,50 отделение полиции,ОМВД России по Курортному району СПб,50,"197758, Санкт-Петербург, п. Песочный, ул. Ленинградская, 52-А",(812) 596-87-02,-,-,майор полиции,Донцов Юрий Сергеевич,(812) 573-18-78,Пн. 16.00-18.00,27.06.16,https://78.мвд.рф/request_main,(812) 573-21-81,-,OP_50_ph1_nogood.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Курортный,81 отделение полиции,ОМВД России по Курортному району СПб,81,"197720, Санкт-Петербург, г. Зеленогорск, пр.Ленина, 8",(812) 433-47-02,-,-,подполковник полиции,Аскендеров Керим Вагифович,(812) 573-18-68,"Вт. 17.00-20.00, чт. 10.00-13.00",27.06.16,https://78.мвд.рф/request_main,(812) 573-21-81,"1) Прошли профилактические рейды по местам массового отдыха, в т.ч. сотрудниками 81 оп - июнь 2016: http://nia-spb.ru/news/society/3449.html ;
2)В день ВДВ в Петербурге были задержаны ЛГБТ-активисты. В отношении Гаврикова был составлен административный протокол в 81 оп - август 2015: http://www.chaspik.spb.ru/people/v-den-vdv-v-peterburge-byli-zaderzhany-lgbt-aktivisty/ ;
",NO_PHOTO.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Московский,29 отдел полиции,УМВД России по Московскому району СПб,29,"196191, Санкт-Петербург, ул. Варшавская, 37-3",(812) 573-47-71,-,-,майор полиции,Шадиев Руслан Абдурашидович,(812) 573-47-90,"Вт. 10.00-12.00, 17.00-20.00",-,https://78.мвд.рф/request_main,(812) 573-21-81,"1) Трехлетняя петербурженка решила в одиночестве погулять по ночному городу, ее отвезли в 29 оп - сентябрь 2015: https://nevnov.ru/135966-trexletnyaya-peterburzhenka-reshila-v-odinochestve-pogulyat-po-nochnomu-gorodu ;
2) Антифашисты, задержанные на Международном консервативном форуме, вышли на свободу. Девушки провели ночь в 29 оп - март 2015: https://www.zaks.ru/new/archive/view/137713 ;
3) Участковый 29 оп, изъявший паспорт у петербурженки, ""не знает"" девушку - декабрь 2014: https://www.zaks.ru/new/archive/view/134024 ;
4) Молодые люди ограбили цветочный магазин в День святого Валентина. Воры были доставлены в 29 оп - февраль 2013: http://www.rosbalt.ru/piter/2013/02/14/1094229.html ;
5) 15-летний хулиган расстрелял из травматики припаркованный ВАЗ, его доставили в 29 оп - январь 2013: http://www.spb.aif.ru/society/700724 ;
6) В Московском районе призывника по очереди избивали полицейские в 29 оп и военные в военкомате - ноябрь 2012: http://mr7.ru/articles/62736/ ;
7) Участковый уполномоченный 29 оп задержан по подозрению в похищении человека и вымогательстве - март 2012: http://www.peterburgec.ru/news2025.pl ;
",OP_29_ph1_gsw.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Московский,33 отдел полиции,УМВД России по Московскому району СПб,33,"196211, Санкт-Петербург, пр. Космонавтов, 21-3",(812) 573-47-73,-,(812) 378-67-48,подполковник полиции,Волошин Михаил Юрьевич,(812) 573-48-20,Пн. 17.00-19.00,-,https://78.мвд.рф/request_main,(812) 573-21-81,"1) Неадекватный мужчина избивал женщину у метро, его задержали и доставили в 33 оп - сентябрь 2016: http://informvest.net/other/v-peterburge-neadekvatnyj-muzhchina-izbival-zhenshhin-u-metro-zvezdnaya-2.html ;
2) Милонов заявил, что полиция 33 отдела задержала машину с листовками против него - сентябрь 2013: https://ria.ru/politics/20160913/1476856420.html ;
3) МВД приостановило проверку сотрудника 33-го отделения полиции - апрель 2015: https://munizipal.zaks.ru/archivemo/4838 ;
4) Петербургские борцы с Мадонной снова ""штурмуют"" суд, они написали заявление в прокуратуру Петербурга и Генеральную прокуратуру РФ с просьбой провести проверку деятельности 33 отделения полиции за срыв сроков по ответу на заявления - декабрь 2012: http://www.rbc.ru/spb_sz/25/12/2012/5592a6169a794719538cddf2 ;
5) Клиентам не понравились расценки на такси, и они решили избить водителя, задержанных доставили в 33 оп - июнь 2012: http://www.kp.ru/online/news/1180012/ ;
",NO_PHOTO.jpg,отчёт о работе за 2016 год не опубликован,-,,,"police_station.png
"
Московский,51 отдел полиции,УМВД России по Московскому району СПб,51,"196143, Санкт-Петербург, ул. Ленсовета, 51-2",(812) 573-47-74,-,-,полковник полиции,Праздничный Александр Александрович,(812) 573-48-47,"Вт. 10.00-12.00, 17.00-20.00",14.07.16,https://78.мвд.рф/request_main,(812) 573-21-81,"1) Полицейские 51 отдела подали в розыск на гражданина Таджикистана, который, как предполагается, примкнул к рядам ИГИЛ в Сирии - июль 2015: http://rus.ozodi.org/a/27141086.html ;
2) Вновь найден гараж с угнанными машинами, он был найден в результате совместных оперативных действий 51 отделения полиции Санкт-Петербурга и специалистов охранной компании «Аркан» июнь 2014: http://www.chaspik.spb.ru/crime/v-pitere-vnov-najden-garazh-s-ugnannymi-mashinami/ ;
3) Полицейские 51 оп отправятся в колонию за помощь в разрешении конфликта - февраль 2014: http://www.rosbalt.ru/piter/2014/02/24/1237160.html ;
4) Задержан мужчина, пытавшийся влезть в окно с помощью парковой скамейки, он был доставлен в 51 оп - октябрь 2012: http://www.baltinfo.ru/2012/10/02/Zaderzhan-muzhchina-pytavshiisya-vlezt-v-okno-s-pomoschyu-parkovoi-skameiki-308047 ;
5) Полицию Петербурга проверят на причастность к коду Гитлера. По словам задержанного, он стал свидетелем того, как сотрудники 51-го отдела полиции фотографировали около десятка гастарбайтеров с табличкой в руках с одним и тем же номером - 1488 - август 2011: http://www.newsinfo.ru/news/2011-08-10/policiapiter/759428/ ;",NO_PHOTO.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Невский,10 отдел полиции,УМВД России по Невскому району СПб,10,"192148, Санкт-Петербург, ул. Крупской, 30",(812) 560-02-02,-,-,майор полиции,Поздняков Сергей Иванович,(812) 573-49-49,Вт. 16.00-19.00,-,https://78.мвд.рф/request_main,(812) 573-21-81,"1) В 10 отделении полиции Петербурга нашли повешенным безрукого свидетеля - июль 2016: https://24smi.org/news/41534-v-peterburge-v-otdelenii-policii-nashli-me_newsya.html и здесь https://life.ru/t/life78/881540/naidiennyi_miortvym_v_otdielie_politsii_biezrukii_invalid_otpravil_proshchalnoie_sms_mamie;
2) Активист: Среди задержанных на народном сходе у ""Ломоносовской"" - восьмилетние дети и инвалид. В данный момент они находятся с остальными задержанными в 24 и 10 отделениях полиции - сентябрь 2013: http://www.rosbalt.ru/piter/2013/09/21/1178424.html ;
3) ""Ауди"", сгоревшая в пруду, была угнана; владелец не расстроился(владелец обратился в 10 оп с заявлением о пропаже автомобиля) - сентябрь 2012: http://spbvoditel.ru/2012/09/26/021/ ;
4) Хулиган разбил нос продавщице, егодоставили в 10 оп - август 2012: http://www.rosbalt.ru/piter/2012/08/13/1022161.html;
",OP_10_ph1_gsw.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Невский,23 отдел полиции,УМВД России по Невскому району СПб,23,"193231, Санкт-Петербург, ул. Дыбенко, 40-2",(812) 573-71-12,-,-,полковник полиции,Колонистов Сергей Валерьевич,(812) 573-71-16,"1-ый вт. мес. 17.00-20.00,          1-ая сб. мес. 10.00-13.00",-,https://78.мвд.рф/request_main,(812) 573-21-81,"1) В Невском районе руководитель 23 отдела полиции «погорел» на 10 тысячах рублей июнь 2015: https://ok-inform.ru/obshchestvo/proisshestviya/kriminal/37859-v-nevskom-rajone-rukovoditel-23-otdela-politsii-pogorel-na-10-tysyachakh-rublej.html ;
2) Торговец наркотиками хотел зарезать себя прямо в оп, во время проходившего досмотра сотрудником 23 оп - август 2014:  https://rrnews.ru/news/u4973/2014/08/05/70842 ;
3) Навигатор и коллекцию моделей ""Советский автопром"" украли на парковке торгового центра, автовладелец заявил о случившемся в 23 оп - май 2012: http://spbvoditel.ru/2012/05/23/029/ ;
4) Задержали полицейского 23 оп устроившего скандал в квартире бывшей жены - март 2012: http://topspb.tv/news/news6633/ ;
",OP_23_ph1_gsw.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Невский,24 отдел полиции,УМВД России по Невскому району СПб,24,"193315, Санкт-Петербург, пр. Большевиков, 59-3",(812) 573-57-99,-,-,полковник полиции,Иванов Евгений Владимирович,(812) 573-57-99,"1-ый вт. мес. 17.00-20.00, 1-ая сб. мес. 10.00-13.00",29.06.16,https://78.мвд.рф/request_main,(812) 573-21-81,"1) Полиция задержала уличного грабителя - август 2014 : http://neva.today/news/91355/ ;
2) Из гаража в Невском районе похитили женское белье - декабрь 2013: http://spb.mk.ru/news/2013/12/04/955008-iz-garazha-v-nevskom-rayone-pohitili-zhenskoe-bele.html ;
3) Неизвестным изнасилована школьница - октябрь 2012 : http://www.spb.aif.ru/society/698732 ;
4) Внук ограбил свою бабушку - сентябрь 2011
",NO_PHOTO.jpg,отчёт о работе за 2016 год не опубликован,-,,,"police_station.png
"
Невский,32 отдел полиции,УМВД России по Невскому району СПб,32,"192013, Санкт-Петербург, 2-й Рабфаковский пер., 4",(812) 573-58-02,-,-,капитан полиции,Черняев Александр Борисович,(812) 573-58-02,"1-ый вт. мес.  17.00-19.00, 1-ая сб. мес. 10.00-13.00",01.07.16,https://78.мвд.рф/request_main,(812) 573-21-81,"1) Сотрудники полиции задержали мужчину, который несколько раз ударил нажом своего знакомого - август 2014: neva.today/news/91219/ ;
2) По подозрению в незаконном обороте наркотиков задержан сотрудник полиции - март 2014: http://www.gazeta.spb.ru/1594470-0/ ;
3) У суда был задержан Бондарик, которого полицейские обвинили в курении в неположенном месте и под конвоем пяти сотрудников  доставили предположительно в 32 отделение полиции - сентябрь 2013: https://www.zaks.ru/new/archive/view/115485 ; 
4) Сосед расстрелял семейную пару из Азербайджана - октябрь 2012: http://www.rosbalt.ru/piter/2012/10/08/1043578.html ;
5) Задержан полицейский, отпустивший подозреваемого в убийстве гражданина Азербайджана - июль 2012: http://www.utronews.ru/society/000134208027550/ ;
6) Избит водитель автобуса - июнь 2011: http://shuum.ru/news/7836 ;
 
",OP_32_ph1.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Невский,45 отдел полиции,УМВД России по Невскому району СПб,45,"192076, Санкт-Петербург, пр. Рыбацкий, 2",(812) 573-58-11,(812) 700-45-02,-,полковник полиции,Рошка Геннадий Иванович,(812) 573-58-18,"1-ый вт. мес. 17.00-20.00,          1-ая сб. мес. 10.00-13.00",-,https://78.мвд.рф/request_main,(812) 573-21-81,"1) Сотрудники 45 отдела полиции в результате оперативной комбинации задержали петербурженку при попытке сбыть предмет, внешне похожий на пистолет, и 13 патронов - июнь 2016: https://78.xn--b1aew.xn--p1ai/news/item/8026718/ ;
2) Сотрудниками 45 оп задержан ранее гражданин, у которого в ходе личного досмотра было обнаружено и изъято наркотическое средство героин - май 2016: https://78.xn--b1aew.xn--p1ai/news/item/7765497/ ;
3) Возбуждено уголовное дело в отношении двух граждан, повредивших припаркованный автомобиль, сотрудники 45 оп задержали подозреваемых - февраль 2016: https://78.xn--b1aew.xn--p1ai/news/item/7277600/ ;
4) Сотрудниками 45 отдела полиции был задержан 21-летний гражданин. В ходе личного досмотра у подозреваемого в нижнем белье было обнаружено и изъято психотропное вещество «амфетамин» - февраль 2016: https://78.xn--b1aew.xn--p1ai/news/item/7175313/ ;
5) Очевидцы уличного грабежа задержали злоумышленника и передали его в 45 оп - январь 2016: https://78.xn--b1aew.xn--p1ai/news/item/7085853/ ;",OP_45_ph1_gsw.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Невский,70 отдел полиции,УМВД России по Невскому району СПб,70,"193079, Санкт-Петербург, ул. Новоселов, 4",(812) 573-71-21,-,-,подполковник полиции,Джураев Виталий Тошбаевич,(812) 573-71-22,"1-ый вт. мес. 10.00-12.00, последняя сб. мес. 10.00-12.00",29.06.16,https://78.мвд.рф/request_main,(812) 573-21-81,"1) Внучка пыталась задушить свою бабушку - июнь 2016: http://letnews.ru/v-peterburge-vnuchka-pytalas-zadushit-svoyu-80-letnyuyu-babushku/ ;
2) Вор пытался ограбить ночное кафе - июль 2014: http://neva.today/news/89581/ ;
3) В отношении трех петербургских полицейских завели дело о получении взятки - июнь 2014: http://topdialog.ru/2014/06/30/v-otnoshenii-trex-peterburgskix-policejskix-zaveli-delo-o-poluchenii-vzyatki/ ;
",OP_70_ph1.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Невский,75 отдел полиции,УМВД России по Невскому району СПб,75,"193232, Санкт-Петербург, пр. Большевиков, 30-5",(812) 573-71-11,-,-,полковник полиции,Грачев Павел Николаевич,(812) 573-71-11,"1-ый вт. мес.  17.00-19.00, 1-ая сб. мес. 10.00-12.00",-,https://78.мвд.рф/request_main,(812) 573-21-81,"1) Для учеников 9-11 классов Невского района прошли мероприятия по профилактике правонарушений, сотрудник 75 оп осветила права и обязанности несовершеннолетних в стенах образовательного учреждения и вне его - октябрь 2016: http://www.nevnews.ru/news/2016-10-05/dlya-uchenikov-9-11-klassov-nevskogo-rayona-proshli-meropriyatiya-po-profilaktike-pravonarusheniy/ ;
2) Задержан подозреваемый в кражах из квартиры сотрудниками 75 оп - февраль 2016: https://78.xn--b1aew.xn--p1ai/news/item/7254276/ ;
3) Перед судом предстанет гражданин Украины, обвиняемый в управлении автомобилем в состоянии опьянения, после доставления Козубовского в 75 отдел полиции УМВД России по Невскому району Санкт-Петербурга в ходе личного досмотра при нем обнаружено и изъято психотропное вещество – амфетамин - февраль 2016: http://procspb.ru/news/spb/13785-v-nevskom-rayone-pered-sudom-predstanet-grazhdanin-ukrainy-obvinyaemyy-v-upravlenii-avtomobilem-v-sostoyanii-opyaneniya ;
4) Две пенсионерки с улицы Бабушкина подрабатывали на жизнь торговлей наркотиками, сотрудники уголовного розыска пришли на одну из квартир, где изъяли героин - январь 2016: http://www.gazeta.spb.ru/1925177-0/ ;
5) Перед судом предстанет бывший офицер полиции 75 оп, обвиняемый в мошенничестве - сентябрь 2015: http://47-region.ru/news/obshestvo/3547
6)полицейские до смерти забили 15-летнего Никиту Леонтьева, в 2012 году задержанного по подозрению в грабеже. Уже после смерти подростка оправдали, а оперативники получили сроки до 9 лет колонии.  http://paperpaper.ru/otdel/ 26.12.2016",OP_75_ph1_gsw.jpg,отчёт о работе за 2016 год не опубликован,-,,,"police_station.png
"
Петроградский,18 отдел полиции,УМВД России по Петроградскому району СПб,18,"197110, Санкт-Петербург, ул. Петрозаводская, 1/24",(812) 573-45-98,-,-,подполковник полиции,Смирнов Сергей Владимирович,(812) 573-46-00,"Вт. 16.00-18.00, чт.15.00-17.00",08.16,https://78.мвд.рф/request_main,(812) 573-21-81,"1) 18 оп по горячим следам раскрыт дерзкий квартирный разбой - октябрь 2016: https://78.xn--b1aew.xn--p1ai/news/item/8705339/ ;
2) Полиция 18 отдела задержала вооруженного водителя на месте ДТП - август 2014: http://neva.today/news/91348/ ;
3) Полиция задержала нетрезвого мужчину, который на улице бросался на прохожих с молотком и ножом. Задержанный доставлен в 18 оп - январь 2014: http://piter.tv/event/V_Peterburge_p_yanij_gonyalsya_za_prohozhimi_s_molotkom_i_nozhom/ ;
4) К рынку на Апраксином дворе свозят спецназ для его защиты, 10 человек были доставлены в 18 оп - октябрь 2013: http://www.gazeta.spb.ru/1459692-0/ ;
5) У учащегося частной школы найден гашиш, юноша был доставлен в 18 оп - сентябрь 2013: http://www.baltpp.ru/a/2013/09/11/U_uchashhegosja_chastnoj_shkoli/ ;",OP_18_ph1_gsw.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Петроградский,43 отдел полиции,УМВД России по Петроградскому району СПб,43,"197101, Санкт-Петербург, ул. Б.Монетная, 27",(812) 573-44-24,(812) 232-43-02,-,подполковник ,Краев Александр Николаевич,(812) 573-44-39,"Пн. 17.00-19.00, Пт. 16.00-18.00",2014,https://78.мвд.рф/request_main,(812) 573-21-81,"1) Задержали активиста с радужным флагом, его доставили в 43 оп - октябрь 2016: http://www.rosbalt.ru/piter/2016/10/30/1563133.html ;
2) Дама донесла на дочь-школьницу, занимавшуюся сексом за стенкой, сообщение поступило в 43 оп - август 2016: http://www.gazeta.spb.ru/1968685-0/ ;
3) Задержанные у Соловецкого камня отпущены из 43 оп - июль 2016: https://ovdinfo.org/express-news/2016/07/13/zaderzhannye-u-soloveckogo-kamnya-otpushcheny-iz-policii ;
4) Четверо неизвестных избили сотрудника ОМОН, потерпевший обратился в 43 оп - ноябрь 2015: http://runews24.ru/saint-petersburg/12112015-V-Peterburge-chetvero ;
5) Арестована петербурженка, грозившаяся взорвать 43оп - июнь 2015: http://piter.tv/event/Arestovana_peterburzhenka_grozivshayasya_vzorvat_otdel_policii_i_glavk_/ ;
",OP_43_ph1_gsw.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
Петроградский,71 отдел полиции,УМВД России по Петроградскому району СПб,71,"197198, Санкт-Петербург, ул.Мончегорская, 6",(812) 573-46-13,(812) 230-71-02,-,майор ,Башков Тимур Анатольевич ,(812) 573-46-28,"Пн. 10.00-12.00,Пт. 17.00-19.00",08.16,https://78.мвд.рф/request_main,(812) 573-21-81,"1) Разыскивается злоумышленник, напавший на девушку, с заявлением в 71 оп обратилась сама девушка - октябрь 2016: https://78.xn--b1aew.xn--p1ai/news/item/8764953/ ;
2) Тренер по карате, подравшийся с чемпионкой России, проходит стажировку в 71 оп - сентябрь 2016: https://riafan.ru/559534-trener-po-karate-podravshiisya-s-chempionkoi-rossii-prohodit-stazhirovku-v-policii ;
3) Кусок фасада упал на автомобиль. Сотрудники ЖКХ отреагировали немедленно, автомобилист подал заявление в 71 оп - апрель 2016: http://spbvoditel.ru/2016/04/29/013/ ;
4) Сомнительный бизнесмен обвиняет вратаря «Зенита» в вымогательстве и насилии, материалы для проверки направлены в 71 оп - март 2016: https://ufirms.ru/news/russia/somnitelniy-biznesmen-obvinyaet-vratarya-zenita-v-vimogatelstve-i-nasilii.html ;
5) Суд рассмотрит уголовное дело в отношении полицейского 71 отдела, обвиняемого в разбое - март 2016: http://www.rapsinews.ru/judicial_news/20160316/275636097.html ;",OP_71_ph1_gsw.jpg,отчёт о работе за 2016 год не опубликован,-,,,police_station.png
